year,month,rank_ME,rank_R11_6,nstocks,ret_vw
1970,7,3,3,313,9.2335
1970,7,3,4,374,8.7782
1970,7,3,5,328,4.2738
1970,8,1,1,666,7.3357
1970,8,1,2,537,5.7726
1970,8,1,3,365,4.6500
1970,8,1,4,221,4.4890
1970,8,1,5,137,2.9549
1970,8,2,1,209,12.1159
1970,8,2,2,270,7.9317
1970,8,2,3,240,5.0985
1970,8,2,4,201,4.4448
1970,8,2,5,157,3.2214
1970,8,3,1,118,9.4198
1970,8,3,2,225,7.2119
1970,8,3,3,317,6.1146
1970,8,3,4,373,5.0760
1970,8,3,5,320,2.9035
1970,9,1,1,670,19.0244
1970,9,1,2,537,13.4770
1970,9,1,3,353,9.7460
1970,9,1,4,208,9.6487
1970,9,1,5,130,14.5493
1970,9,2,1,203,19.1435
1970,9,2,2,264,11.7080
1970,9,2,3,239,8.5491
1970,9,2,4,204,7.1240
1970,9,2,5,150,8.4596
1970,9,3,1,112,8.3339
1970,9,3,2,228,4.6689
1970,9,3,3,316,4.0771
1970,9,3,4,375,1.6568
1970,9,3,5,312,4.6628
1970,10,1,1,682,-11.9308
1970,10,1,2,540,-5.9742
1970,10,1,3,356,-3.3482
1970,10,1,4,203,-1.3384
1970,10,1,5,132,-3.5532
1970,10,2,1,208,-10.9103
1970,10,2,2,254,-5.2653
1970,10,2,3,246,-3.2806
1970,10,2,4,203,-1.5965
1970,10,2,5,135,-1.0771
1970,10,3,1,112,-6.1516
1970,10,3,2,230,-3.0879
1970,10,3,3,327,-0.6908
1970,10,3,4,372,-1.4368
1970,10,3,5,310,-0.0940
1970,11,1,1,678,-3.1225
1970,11,1,2,545,-1.2553
1970,11,1,3,334,-0.4199
1970,11,1,4,202,0.7520
1970,11,1,5,125,0.8166
1970,11,2,1,204,1.4897
1970,11,2,2,250,2.4639
1970,11,2,3,243,3.6303
1970,11,2,4,199,3.4971
1970,11,2,5,145,3.7202
1970,11,3,1,111,5.2379
1970,11,3,2,223,4.7490
1970,11,3,3,327,5.0961
1970,11,3,4,376,5.6583
1970,11,3,5,315,5.6143
1970,12,1,1,676,8.4122
1970,12,1,2,561,8.7754
1970,12,1,3,335,10.5568
1970,12,1,4,208,10.1136
1970,12,1,5,130,9.8783
1970,12,2,1,202,8.1953
1970,12,2,2,256,9.2198
1970,12,2,3,233,9.1418
1970,12,2,4,192,8.9612
1970,12,2,5,151,6.5414
1970,12,3,1,108,6.2101
1970,12,3,2,218,7.7772
1970,12,3,3,336,6.5331
1970,12,3,4,375,6.1090
1970,12,3,5,307,4.6293
1971,1,1,1,672,19.3131
1971,1,1,2,568,16.0031
1971,1,1,3,344,12.0748
1971,1,1,4,224,10.4781
1971,1,1,5,131,9.9966
1971,1,2,1,202,14.1218
1971,1,2,2,254,11.2139
1971,1,2,3,236,8.6597
1971,1,2,4,197,7.9421
1971,1,2,5,162,6.7546
1971,1,3,1,114,11.6241
1971,1,3,2,221,8.7979
1971,1,3,3,332,4.0635
1971,1,3,4,365,4.4526
1971,1,3,5,306,3.0441
1971,2,1,1,699,6.8231
1971,2,1,2,557,4.7071
1971,2,1,3,334,3.8571
1971,2,1,4,217,4.2440
1971,2,1,5,134,7.2164
1971,2,2,1,211,2.5615
1971,2,2,2,255,2.7288
1971,2,2,3,240,3.0500
1971,2,2,4,193,2.2592
1971,2,2,5,168,3.5874
1971,2,3,1,109,0.9575
1971,2,3,2,234,1.3428
1971,2,3,3,347,1.5332
1971,2,3,4,369,0.5155
1971,2,3,5,307,2.3728
1971,3,1,1,711,5.5021
1971,3,1,2,551,6.1165
1971,3,1,3,352,6.4548
1971,3,1,4,230,7.2685
1971,3,1,5,157,6.9267
1971,3,2,1,212,7.9518
1971,3,2,2,255,6.1965
1971,3,2,3,232,4.7294
1971,3,2,4,194,4.6086
1971,3,2,5,179,6.2938
1971,3,3,1,126,9.0025
1971,3,3,2,246,5.5441
1971,3,3,3,360,4.1639
1971,3,3,4,384,3.0637
1971,3,3,5,309,3.4944
1971,4,1,1,699,2.2495
1971,4,1,2,566,3.2716
1971,4,1,3,365,1.4003
1971,4,1,4,262,0.5893
1971,4,1,5,197,0.4916
1971,4,2,1,209,4.0419
1971,4,2,2,258,3.3439
1971,4,2,3,228,2.3986
1971,4,2,4,204,3.0274
1971,4,2,5,196,4.2350
1971,4,3,1,124,6.1068
1971,4,3,2,265,4.3736
1971,4,3,3,379,2.7746
1971,4,3,4,382,3.4968
1971,4,3,5,299,4.4158
1971,5,1,1,701,-8.0869
1971,5,1,2,586,-6.4839
1971,5,1,3,400,-5.5626
1971,5,1,4,320,-4.7506
1971,5,1,5,256,-4.0829
1971,5,2,1,210,-6.8966
1971,5,2,2,270,-4.3756
1971,5,2,3,238,-3.7146
1971,5,2,4,227,-3.4572
1971,5,2,5,216,-2.5822
1971,5,3,1,137,-3.5276
1971,5,3,2,298,-3.5011
1971,5,3,3,407,-3.4538
1971,5,3,4,409,-3.0006
1971,5,3,5,310,-3.6154
1971,6,1,1,696,-4.5597
1971,6,1,2,594,-3.1100
1971,6,1,3,424,-1.4191
1971,6,1,4,356,-1.3645
1971,6,1,5,299,-1.2983
1971,6,2,1,214,-3.8836
1971,6,2,2,255,-1.1610
1971,6,2,3,247,-0.8655
1971,6,2,4,243,0.6725
1971,6,2,5,223,2.0179
1971,6,3,1,177,-1.5652
1971,6,3,2,331,-0.4854
1971,6,3,3,420,0.8303
1971,6,3,4,418,0.8924
1971,6,3,5,312,1.2237
1971,7,1,1,672,-7.0696
1971,7,1,2,580,-5.8958
1971,7,1,3,446,-4.8716
1971,7,1,4,391,-4.9370
1971,7,1,5,319,-7.8020
1971,7,2,1,212,-6.7871
1971,7,2,2,253,-5.3550
1971,7,2,3,248,-3.6921
1971,7,2,4,248,-3.2638
1971,7,2,5,233,-4.7170
1971,7,3,1,190,-7.3433
1971,7,3,2,336,-4.5918
1971,7,3,3,424,-3.6013
1971,7,3,4,418,-3.6997
1971,7,3,5,310,-4.1926
1971,8,1,1,626,2.8566
1971,8,1,2,555,3.7131
1971,8,1,3,483,4.2227
1971,8,1,4,407,5.5409
1971,8,1,5,352,5.4889
1971,8,2,1,206,4.0037
