year,month,rank_ME,rank_SM_1,nstocks,ret_vw
1981,10,1,3,130,8.8656
1981,10,1,4,139,8.1516
1981,10,1,5,163,8.3297
1981,10,2,1,72,7.6975
1981,10,2,2,49,6.4997
1981,10,2,3,55,6.6075
1981,10,2,4,57,10.1358
1981,10,2,5,57,8.7349
1981,10,3,1,88,9.2772
1981,10,3,2,80,10.1181
1981,10,3,3,76,3.6434
1981,10,3,4,78,1.4781
1981,10,3,5,70,8.5257
1981,11,1,1,113,2.6149
1981,11,1,2,102,2.3706
1981,11,1,3,109,2.3916
1981,11,1,4,137,0.7062
1981,11,1,5,243,2.3128
1981,11,2,1,52,2.2993
1981,11,2,2,59,1.7415
1981,11,2,3,45,4.1980
1981,11,2,4,62,2.6355
1981,11,2,5,69,4.5810
1981,11,3,1,81,2.8843
1981,11,3,2,72,5.6984
1981,11,3,3,79,5.1170
1981,11,3,4,85,5.0094
1981,11,3,5,76,4.0818
1981,12,1,1,162,-3.3307
1981,12,1,2,133,-0.8533
1981,12,1,3,161,-1.2615
1981,12,1,4,133,-3.5499
1981,12,1,5,107,-2.7234
1981,12,2,1,60,-1.9846
1981,12,2,2,64,-1.0796
1981,12,2,3,65,-1.5899
1981,12,2,4,45,-0.9738
1981,12,2,5,51,-1.9645
1981,12,3,1,74,-1.6098
1981,12,3,2,71,-1.6368
1981,12,3,3,71,-2.4326
1981,12,3,4,88,-1.1116
1981,12,3,5,90,-3.9488
1982,1,1,1,90,-2.8582
1982,1,1,2,159,-2.8183
1982,1,1,3,122,-2.1157
1982,1,1,4,155,-2.0859
1982,1,1,5,167,-1.9785
1982,1,2,1,61,-7.8075
1982,1,2,2,51,-6.3435
1982,1,2,3,59,-4.6121
1982,1,2,4,63,-3.6413
1982,1,2,5,55,-4.0797
1982,1,3,1,103,-8.5442
1982,1,3,2,85,0.6692
1982,1,3,3,72,0.2542
1982,1,3,4,67,-0.8327
1982,1,3,5,60,-2.2138
1982,2,1,1,135,-4.1723
1982,2,1,2,133,-7.2885
1982,2,1,3,193,-4.3683
1982,2,1,4,117,-5.8147
1982,2,1,5,128,-2.0644
1982,2,2,1,64,-8.3782
1982,2,2,2,58,-6.3041
1982,2,2,3,61,-3.1664
1982,2,2,4,51,-3.7062
1982,2,2,5,49,-1.8295
1982,2,3,1,76,-11.5420
1982,2,3,2,87,-9.2788
1982,2,3,3,61,-5.8185
1982,2,3,4,78,-3.3789
1982,2,3,5,79,-2.7834
1982,3,1,1,152,-3.8623
1982,3,1,2,163,-1.8683
