year,month,rank_ME,rank_DAC,nstocks,ret_vw
1971,6,3,4,98,1.1701
1971,6,3,5,66,1.0164
1971,7,1,1,204,-7.3353
1971,7,1,2,102,-6.8257
1971,7,1,3,93,-5.2394
1971,7,1,4,122,-6.5139
1971,7,1,5,169,-6.9220
1971,7,2,1,75,-4.4350
1971,7,2,2,51,-4.3891
1971,7,2,3,63,-4.1782
1971,7,2,4,49,-6.3399
1971,7,2,5,73,-4.6518
1971,7,3,1,75,-5.3238
1971,7,3,2,108,-4.1248
1971,7,3,3,97,-3.2500
1971,7,3,4,97,-3.6168
1971,7,3,5,101,-5.2403
1971,8,1,1,204,2.5888
1971,8,1,2,102,7.4907
1971,8,1,3,93,5.0930
1971,8,1,4,122,5.2502
1971,8,1,5,169,3.1301
1971,8,2,1,75,5.3619
1971,8,2,2,51,3.8672
1971,8,2,3,63,4.4303
1971,8,2,4,49,5.5947
1971,8,2,5,73,5.4996
1971,8,3,1,75,6.7457
1971,8,3,2,108,5.3599
1971,8,3,3,97,2.2925
1971,8,3,4,97,3.8620
1971,8,3,5,100,5.0773
1971,9,1,1,204,-0.0279
