year,month,rank_ME,rank_IG2,nstocks,ret_vw
1970,10,1,2,85,-6.0465
1970,10,1,3,69,-5.2253
1970,10,1,4,62,-7.4787
1970,10,1,5,140,-8.2143
1970,10,2,1,53,-6.6315
1970,10,2,2,49,-3.7560
1970,10,2,3,36,-4.0671
1970,10,2,4,59,-6.6948
1970,10,2,5,77,-4.9047
1970,10,3,1,67,-2.5652
1970,10,3,2,97,0.3529
1970,10,3,3,114,-0.4059
1970,10,3,4,95,-2.1324
1970,10,3,5,59,-3.3169
1970,11,1,1,142,-1.7188
1970,11,1,2,83,-1.6887
1970,11,1,3,69,-0.9972
1970,11,1,4,62,0.1396
1970,11,1,5,140,1.1633
1970,11,2,1,52,0.9845
1970,11,2,2,49,3.6624
1970,11,2,3,36,5.6124
1970,11,2,4,59,2.8594
1970,11,2,5,77,1.8454
1970,11,3,1,67,6.9390
1970,11,3,2,97,4.2172
1970,11,3,3,114,5.2635
1970,11,3,4,95,5.6999
1970,11,3,5,59,3.4865
1970,12,1,1,141,9.4815
1970,12,1,2,83,11.5568
1970,12,1,3,69,11.1769
1970,12,1,4,62,10.7875
1970,12,1,5,140,9.9413
1970,12,2,1,52,9.9739
1970,12,2,2,49,11.0342
1970,12,2,3,36,9.1654
1970,12,2,4,59,7.7012
1970,12,2,5,77,8.2607
1970,12,3,1,67,5.1650
1970,12,3,2,97,6.5058
1970,12,3,3,113,5.4048
1970,12,3,4,95,6.6172
1970,12,3,5,59,3.8707
1971,1,1,1,140,14.7589
1971,1,1,2,83,12.7179
1971,1,1,3,69,12.5827
1971,1,1,4,62,15.0451
1971,1,1,5,139,15.5330
1971,1,2,1,52,13.9172
1971,1,2,2,49,10.6273
1971,1,2,3,35,10.2976
1971,1,2,4,59,10.2973
1971,1,2,5,77,10.7871
1971,1,3,1,67,6.8953
1971,1,3,2,97,3.1373
1971,1,3,3,113,4.1474
1971,1,3,4,95,5.1083
1971,1,3,5,59,5.7124
1971,2,1,1,140,5.2277
1971,2,1,2,81,3.5989
1971,2,1,3,68,7.8934
1971,2,1,4,62,2.4066
1971,2,1,5,139,4.3216
1971,2,2,1,52,1.7268
1971,2,2,2,48,4.6590
1971,2,2,3,35,1.5863
1971,2,2,4,59,2.6785
1971,2,2,5,77,2.6449
1971,2,3,1,67,0.6487
1971,2,3,2,97,3.0635
1971,2,3,3,113,1.3621
1971,2,3,4,95,1.0575
1971,2,3,5,58,3.3644
1971,3,1,1,140,6.7466
1971,3,1,2,81,4.9295
1971,3,1,3,68,5.4801
1971,3,1,4,62,5.8188
1971,3,1,5,139,7.8929
1971,3,2,1,52,6.5530
1971,3,2,2,48,5.9009
1971,3,2,3,34,5.6851
1971,3,2,4,59,6.5008
1971,3,2,5,77,5.6850
1971,3,3,1,67,4.5360
1971,3,3,2,97,3.8111
1971,3,3,3,112,3.5701
