year,month,rank_ME,rank_dLNO,nstocks,ret_vw
1971,3,1,1,238,8.6052
1971,3,1,2,104,5.4858
1971,3,1,3,89,6.4935
1971,3,1,4,94,4.2952
1971,3,1,5,172,6.2544
1971,3,2,1,60,6.6108
1971,3,2,2,65,7.5683
1971,3,2,3,59,3.9866
1971,3,2,4,53,10.3046
1971,3,2,5,79,6.3001
1971,3,3,1,63,5.7938
1971,3,3,2,77,3.7792
1971,3,3,3,95,2.9786
1971,3,3,4,115,3.4762
1971,3,3,5,93,5.8284
1971,4,1,1,238,2.9039
1971,4,1,2,103,4.3400
1971,4,1,3,89,2.6243
1971,4,1,4,93,-0.3377
1971,4,1,5,172,2.3898
1971,4,2,1,60,2.9756
1971,4,2,2,65,6.5411
1971,4,2,3,58,5.6956
1971,4,2,4,53,4.6571
1971,4,2,5,78,2.7590
1971,4,3,1,63,4.5937
1971,4,3,2,77,4.5974
1971,4,3,3,95,4.4034
1971,4,3,4,115,4.7660
1971,4,3,5,93,2.5427
1971,5,1,1,234,-5.4852
1971,5,1,2,102,-5.0088
1971,5,1,3,88,-6.7213
1971,5,1,4,93,-6.6662
1971,5,1,5,171,-8.2174
1971,5,2,1,60,-4.8955
1971,5,2,2,65,-3.2277
1971,5,2,3,58,-5.1347
1971,5,2,4,53,-5.3293
1971,5,2,5,78,-4.2862
1971,5,3,1,63,-2.1768
1971,5,3,2,77,-2.6875
1971,5,3,3,95,-4.4213
1971,5,3,4,115,-2.9718
1971,5,3,5,93,-4.9407
1971,6,1,1,231,-2.5792
1971,6,1,2,102,-1.6247
1971,6,1,3,88,-1.4854
1971,6,1,4,92,-1.7556
1971,6,1,5,169,-3.1959
1971,6,2,1,60,-2.1187
1971,6,2,2,65,-1.2699
1971,6,2,3,58,-1.4246
1971,6,2,4,53,-0.3910
1971,6,2,5,77,-0.0415
1971,6,3,1,62,-0.6037
1971,6,3,2,77,0.9580
1971,6,3,3,95,0.0153
1971,6,3,4,115,0.3401
1971,6,3,5,93,-0.4773
1971,7,1,1,281,-6.4139
1971,7,1,2,140,-7.6763
1971,7,1,3,124,-6.6842
1971,7,1,4,100,-5.3169
1971,7,1,5,123,-7.7330
1971,7,2,1,68,-5.1922
1971,7,2,2,85,-5.1043
1971,7,2,3,56,-4.5171
1971,7,2,4,48,-5.2870
1971,7,2,5,76,-4.9558
1971,7,3,1,44,-3.5882
1971,7,3,2,85,-5.9663
1971,7,3,3,101,-2.9816
1971,7,3,4,122,-3.3531
1971,7,3,5,127,-4.6652
1971,8,1,1,280,4.7412
1971,8,1,2,140,5.3516
1971,8,1,3,124,5.2016
1971,8,1,4,100,3.3052
1971,8,1,5,123,2.0918
1971,8,2,1,68,5.9775
1971,8,2,2,85,5.9660
1971,8,2,3,56,5.0499
1971,8,2,4,48,4.4411
1971,8,2,5,76,3.3171
1971,8,3,1,44,7.4747
1971,8,3,2,85,4.8500
1971,8,3,3,101,6.5682
1971,8,3,4,121,2.1826
1971,8,3,5,126,4.8325
