year,month,rank_ME,rank_NDF,nstocks,ret_vw
1976,11,2,2,107,3.5446
1976,11,2,3,123,3.7557
1976,11,2,4,101,3.1834
1976,11,2,5,115,3.6974
1976,11,3,1,84,1.2933
1976,11,3,2,122,1.8039
1976,11,3,3,144,-0.0744
1976,11,3,4,158,0.8292
1976,11,3,5,139,-0.6725
1976,12,1,1,593,9.4389
1976,12,1,2,356,9.9476
1976,12,1,3,344,10.2259
1976,12,1,4,233,9.1562
1976,12,1,5,333,9.9188
1976,12,2,1,127,10.6122
1976,12,2,2,109,9.6850
1976,12,2,3,125,8.1361
1976,12,2,4,102,9.0171
1976,12,2,5,115,8.1204
1976,12,3,1,84,7.1216
1976,12,3,2,122,6.8281
1976,12,3,3,145,4.1470
1976,12,3,4,158,6.1258
1976,12,3,5,139,4.6072
1977,1,1,1,590,4.5117
1977,1,1,2,354,3.7616
1977,1,1,3,343,3.7975
1977,1,1,4,231,3.7493
1977,1,1,5,332,5.6384
1977,1,2,1,125,0.3486
1977,1,2,2,108,0.7827
1977,1,2,3,125,-0.1986
1977,1,2,4,101,3.2611
1977,1,2,5,115,2.7647
1977,1,3,1,84,-3.9419
1977,1,3,2,121,-3.0230
1977,1,3,3,145,-4.8438
1977,1,3,4,158,-3.2260
1977,1,3,5,139,-5.2487
1977,2,1,1,576,-0.0304
1977,2,1,2,348,-0.2749
1977,2,1,3,339,0.4763
1977,2,1,4,229,-0.2672
1977,2,1,5,331,-0.7965
1977,2,2,1,123,-1.3991
1977,2,2,2,108,-0.6200
1977,2,2,3,121,-0.6142
1977,2,2,4,101,-2.1522
