year,month,rank_ME,rank_dLTI,nstocks,ret_vw
1970,7,2,4,30,8.8387
1970,7,2,5,46,6.6938
1970,7,3,1,41,6.2264
1970,7,3,2,63,9.5230
1970,7,3,3,66,9.1684
1970,7,3,4,59,9.5384
1970,7,3,5,56,8.7422
1970,8,1,1,101,6.1912
1970,8,1,2,57,7.5155
1970,8,1,3,36,5.2864
1970,8,1,4,67,7.9197
1970,8,1,5,87,7.1957
1970,8,2,1,36,4.2224
1970,8,2,2,32,8.4638
1970,8,2,3,25,5.7240
1970,8,2,4,30,8.4898
1970,8,2,5,46,4.7935
1970,8,3,1,41,7.8263
1970,8,3,2,63,2.3355
1970,8,3,3,66,6.6298
1970,8,3,4,59,4.8475
1970,8,3,5,56,3.0381
1970,9,1,1,100,16.5533
1970,9,1,2,57,9.5602
1970,9,1,3,36,8.4809
1970,9,1,4,67,16.9022
1970,9,1,5,86,19.1263
1970,9,2,1,36,11.5673
1970,9,2,2,32,8.5716
1970,9,2,3,25,9.1101
1970,9,2,4,30,14.2892
1970,9,2,5,46,15.2644
1970,9,3,1,41,6.5620
1970,9,3,2,63,2.5414
1970,9,3,3,66,-0.3873
1970,9,3,4,59,3.0803
1970,9,3,5,56,6.4709
1970,10,1,1,100,-6.7108
1970,10,1,2,57,-6.5750
1970,10,1,3,36,-4.6441
1970,10,1,4,67,-10.9903
1970,10,1,5,86,-7.3420
1970,10,2,1,35,-5.0778
1970,10,2,2,32,-4.4799
1970,10,2,3,25,-4.3391
1970,10,2,4,30,-6.7494
1970,10,2,5,46,-5.8638
1970,10,3,1,41,-2.3469
1970,10,3,2,63,-2.7256
1970,10,3,3,66,-0.6622
1970,10,3,4,59,-1.5126
1970,10,3,5,56,-0.9768
1970,11,1,1,99,-0.1152
1970,11,1,2,57,-1.7504
1970,11,1,3,36,-1.7619
1970,11,1,4,67,-0.8565
1970,11,1,5,86,-3.8914
1970,11,2,1,35,2.2863
1970,11,2,2,32,2.7414
1970,11,2,3,25,5.3115
1970,11,2,4,30,0.3283
1970,11,2,5,46,0.2909
1970,11,3,1,41,2.7418
1970,11,3,2,63,6.5187
1970,11,3,3,66,6.0598
1970,11,3,4,59,5.0946
1970,11,3,5,56,3.4732
1970,12,1,1,97,9.4891
1970,12,1,2,57,10.6966
1970,12,1,3,36,13.1572
1970,12,1,4,67,9.2674
1970,12,1,5,86,3.9651
1970,12,2,1,35,6.5498
1970,12,2,2,32,10.0902
1970,12,2,3,25,9.8892
1970,12,2,4,30,9.3493
1970,12,2,5,46,7.9982
1970,12,3,1,41,5.2074
1970,12,3,2,63,5.9184
1970,12,3,3,66,5.7300
1970,12,3,4,59,6.5826
1970,12,3,5,56,4.9956
1971,1,1,1,96,16.5352
1971,1,1,2,57,11.3278
1971,1,1,3,36,11.5543
1971,1,1,4,67,14.5994
1971,1,1,5,85,15.4142
1971,1,2,1,35,12.8653
1971,1,2,2,32,9.2650
1971,1,2,3,25,10.8319
1971,1,2,4,29,11.3256
1971,1,2,5,46,11.8661
1971,1,3,1,41,5.2010
1971,1,3,2,63,6.7768
1971,1,3,3,66,3.3982
1971,1,3,4,59,4.8065
1971,1,3,5,56,7.4514
1971,2,1,1,96,3.7862
1971,2,1,2,56,8.7185
1971,2,1,3,36,4.3364
1971,2,1,4,67,4.9751
1971,2,1,5,85,5.4652
1971,2,2,1,35,1.9615
1971,2,2,2,32,0.5717
1971,2,2,3,25,0.5623
1971,2,2,4,29,1.8829
1971,2,2,5,46,3.7623
1971,2,3,1,41,5.2966
1971,2,3,2,63,-2.2815
1971,2,3,3,66,1.2977
1971,2,3,4,59,2.2868
1971,2,3,5,56,2.6061
1971,3,1,1,96,5.0943
1971,3,1,2,56,9.7432
1971,3,1,3,36,7.6840
1971,3,1,4,67,4.2918
1971,3,1,5,84,6.1716
1971,3,2,1,35,5.5813
1971,3,2,2,32,9.0224
1971,3,2,3,25,5.4292
1971,3,2,4,29,7.6635
1971,3,2,5,46,10.6154
1971,3,3,1,41,2.2658
1971,3,3,2,62,3.0286
1971,3,3,3,66,3.1185
1971,3,3,4,58,3.4040
1971,3,3,5,56,4.6715
1971,4,1,1,96,0.3973
1971,4,1,2,56,2.4258
1971,4,1,3,36,1.3015
1971,4,1,4,67,0.4506
1971,4,1,5,83,3.2349
1971,4,2,1,34,5.8236
1971,4,2,2,32,6.5145
1971,4,2,3,25,3.5108
1971,4,2,4,28,7.8721
1971,4,2,5,46,1.0776
1971,4,3,1,41,6.2189
1971,4,3,2,62,3.6720
1971,4,3,3,66,5.4607
1971,4,3,4,58,4.9621
1971,4,3,5,56,4.9670
1971,5,1,1,95,-6.9789
1971,5,1,2,56,-7.5507
1971,5,1,3,36,-6.3510
1971,5,1,4,66,-6.7871
1971,5,1,5,83,-7.2140
1971,5,2,1,34,-3.2824
1971,5,2,2,32,-3.9822
1971,5,2,3,25,-4.8779
1971,5,2,4,29,-5.6173
