year,month,rank_ME,rank_NOA,nstocks,ret_vw
1971,2,2,4,55,1.7013
1971,2,2,5,83,3.3155
1971,2,3,1,92,2.1527
1971,2,3,2,90,3.6878
1971,2,3,3,99,3.6820
1971,2,3,4,90,1.2821
1971,2,3,5,80,-1.9728
1971,3,1,1,173,8.4115
1971,3,1,2,88,8.0961
1971,3,1,3,95,8.6498
1971,3,1,4,105,4.1296
1971,3,1,5,164,4.5999
1971,3,2,1,45,5.7258
1971,3,2,2,57,8.1470
1971,3,2,3,57,4.1747
1971,3,2,4,55,7.6098
1971,3,2,5,83,7.8491
1971,3,3,1,91,4.9809
1971,3,3,2,90,4.0632
1971,3,3,3,99,3.4420
1971,3,3,4,90,3.2368
1971,3,3,5,80,4.0700
1971,4,1,1,173,1.8718
1971,4,1,2,88,1.3148
1971,4,1,3,95,4.2533
1971,4,1,4,105,1.6070
1971,4,1,5,164,2.6355
1971,4,2,1,45,3.5100
1971,4,2,2,57,6.6499
1971,4,2,3,57,3.9023
1971,4,2,4,55,5.3609
1971,4,2,5,82,2.5493
1971,4,3,1,91,4.5433
1971,4,3,2,90,3.9831
1971,4,3,3,99,5.5834
1971,4,3,4,90,6.0675
1971,4,3,5,80,1.8123
1971,5,1,1,173,-4.9507
1971,5,1,2,88,-4.7024
1971,5,1,3,95,-7.0014
1971,5,1,4,105,-6.2681
1971,5,1,5,164,-8.1283
1971,5,2,1,45,-4.5766
1971,5,2,2,57,-3.6495
1971,5,2,3,57,-5.1215
1971,5,2,4,55,-3.1770
1971,5,2,5,83,-5.1582
1971,5,3,1,91,-3.9869
1971,5,3,2,90,-2.6977
1971,5,3,3,99,-3.3018
1971,5,3,4,90,-2.9993
1971,5,3,5,80,-4.3521
1971,6,1,1,173,-2.2275
1971,6,1,2,88,-0.5060
1971,6,1,3,95,-1.3738
1971,6,1,4,105,-2.8132
1971,6,1,5,164,-3.6373
1971,6,2,1,45,-1.6282
1971,6,2,2,57,-0.6394
1971,6,2,3,57,-1.0546
1971,6,2,4,55,0.2688
1971,6,2,5,82,-1.9122
1971,6,3,1,91,-0.5729
1971,6,3,2,90,1.0604
1971,6,3,3,99,-0.3046
1971,6,3,4,90,-0.6004
1971,6,3,5,80,1.4158
1971,7,1,1,247,-7.0132
1971,7,1,2,164,-5.7845
1971,7,1,3,129,-6.3250
1971,7,1,4,89,-6.2352
1971,7,1,5,148,-8.2260
1971,7,2,1,65,-5.2392
1971,7,2,2,79,-3.4171
1971,7,2,3,60,-4.3724
1971,7,2,4,63,-7.1591
1971,7,2,5,74,-5.4124
1971,7,3,1,84,-4.8873
1971,7,3,2,85,-5.4591
1971,7,3,3,98,-2.7468
1971,7,3,4,112,-3.6370
1971,7,3,5,118,-3.9446
1971,8,1,1,246,3.5579
1971,8,1,2,164,4.8133
1971,8,1,3,129,6.8214
1971,8,1,4,89,5.9540
1971,8,1,5,148,1.8217
1971,8,2,1,65,4.7121
1971,8,2,2,79,5.7328
1971,8,2,3,60,4.7782
1971,8,2,4,63,6.2016
1971,8,2,5,74,4.1798
1971,8,3,1,84,7.0418
1971,8,3,2,85,3.3426
1971,8,3,3,97,5.4243
1971,8,3,4,112,4.4586
1971,8,3,5,117,2.5948
1971,9,1,1,246,-0.7127
