year,month,rank_ME,rank_ACI,nstocks,ret_vw
1971,2,3,1,61,-0.1798
1971,2,3,2,87,2.7792
1971,2,3,3,107,3.3178
1971,2,3,4,101,-0.5354
1971,2,3,5,57,1.6015
1971,3,1,1,96,7.0639
1971,3,1,2,60,3.8766
1971,3,1,3,44,7.5444
1971,3,1,4,34,5.4803
1971,3,1,5,76,6.9550
1971,3,2,1,50,4.3589
1971,3,2,2,38,9.0357
1971,3,2,3,27,5.4181
1971,3,2,4,40,5.3534
1971,3,2,5,62,5.1908
1971,3,3,1,61,4.1478
1971,3,3,2,87,4.0700
1971,3,3,3,106,4.4585
1971,3,3,4,100,3.0541
1971,3,3,5,57,4.0368
1971,4,1,1,96,2.8148
1971,4,1,2,59,3.5468
1971,4,1,3,44,6.1179
1971,4,1,4,34,0.3633
1971,4,1,5,76,0.1956
1971,4,2,1,50,7.5558
1971,4,2,2,38,5.2089
1971,4,2,3,26,5.4470
1971,4,2,4,40,4.8227
1971,4,2,5,62,4.1421
1971,4,3,1,61,5.7785
1971,4,3,2,87,3.3888
1971,4,3,3,106,4.0379
1971,4,3,4,100,4.6033
1971,4,3,5,57,5.0629
1971,5,1,1,96,-5.5151
1971,5,1,2,59,-5.6264
1971,5,1,3,44,-6.6785
1971,5,1,4,33,-5.7851
1971,5,1,5,76,-6.2578
1971,5,2,1,50,-3.1607
1971,5,2,2,38,-1.9626
1971,5,2,3,26,-4.8685
1971,5,2,4,40,-4.5146
1971,5,2,5,62,-5.0932
1971,5,3,1,61,-2.7668
1971,5,3,2,87,-5.9218
1971,5,3,3,106,-2.5759
1971,5,3,4,100,-3.1679
1971,5,3,5,57,-3.6767
1971,6,1,1,94,-1.7262
1971,6,1,2,59,-3.3629
1971,6,1,3,44,-0.9324
1971,6,1,4,33,-0.6119
1971,6,1,5,76,-1.1047
1971,6,2,1,50,-0.6174
1971,6,2,2,38,-3.1102
1971,6,2,3,26,-1.5597
1971,6,2,4,40,1.2431
1971,6,2,5,62,-0.5024
1971,6,3,1,60,-1.7989
1971,6,3,2,87,-0.9394
1971,6,3,3,106,1.6790
1971,6,3,4,100,0.7788
1971,6,3,5,57,-1.8406
1971,7,1,1,112,-6.6001
1971,7,1,2,87,-5.2734
1971,7,1,3,44,-5.4117
1971,7,1,4,51,-5.1926
1971,7,1,5,88,-6.1750
1971,7,2,1,57,-4.5207
1971,7,2,2,49,-4.7108
1971,7,2,3,45,-5.2589
1971,7,2,4,37,-4.4361
1971,7,2,5,63,-5.1895
1971,7,3,1,60,-6.6154
1971,7,3,2,77,-3.6604
1971,7,3,3,107,-3.9435
1971,7,3,4,111,-4.4161
1971,7,3,5,81,-4.2995
1971,8,1,1,111,5.5349
1971,8,1,2,87,5.8154
1971,8,1,3,44,6.5858
1971,8,1,4,51,4.9983
1971,8,1,5,88,5.6661
1971,8,2,1,57,5.5643
1971,8,2,2,49,8.0306
1971,8,2,3,45,5.2714
1971,8,2,4,37,4.0357
1971,8,2,5,63,6.6249
1971,8,3,1,60,6.3376
1971,8,3,2,77,2.9966
1971,8,3,3,107,4.7918
1971,8,3,4,111,4.0010
1971,8,3,5,80,6.9118
