year,month,rank_ME,rank_PDA,nstocks,ret_vw
1970,9,2,2,42,12.4358
1970,9,2,3,53,8.8531
1970,9,2,4,57,11.6338
1970,9,2,5,75,14.5120
1970,9,3,1,66,5.0515
1970,9,3,2,98,3.1997
1970,9,3,3,110,2.9027
1970,9,3,4,104,3.7936
1970,9,3,5,55,8.5910
1970,10,1,1,202,-7.0549
1970,10,1,2,78,-6.7427
1970,10,1,3,53,-7.1017
1970,10,1,4,82,-7.0874
1970,10,1,5,179,-11.0758
1970,10,2,1,59,-5.8125
1970,10,2,2,42,-4.6849
1970,10,2,3,53,-3.9039
1970,10,2,4,57,-5.9906
1970,10,2,5,75,-6.5125
1970,10,3,1,66,-1.2419
1970,10,3,2,98,-1.3973
1970,10,3,3,110,1.0871
1970,10,3,4,104,-2.1017
1970,10,3,5,55,-6.4107
1970,11,1,1,202,-3.5380
1970,11,1,2,78,1.4457
1970,11,1,3,53,-1.9323
1970,11,1,4,82,-0.8793
1970,11,1,5,179,-2.4179
1970,11,2,1,59,3.0395
1970,11,2,2,42,2.5239
1970,11,2,3,53,3.4375
1970,11,2,4,57,2.4669
1970,11,2,5,75,0.8429
1970,11,3,1,66,5.9113
1970,11,3,2,98,4.9079
1970,11,3,3,110,4.7233
1970,11,3,4,104,5.6209
1970,11,3,5,55,3.5581
1970,12,1,1,201,8.8865
1970,12,1,2,78,11.3753
1970,12,1,3,53,12.0838
1970,12,1,4,82,9.4939
1970,12,1,5,179,9.2149
1970,12,2,1,59,7.8990
1970,12,2,2,42,9.1932
1970,12,2,3,53,9.6045
1970,12,2,4,57,8.3294
1970,12,2,5,75,9.3038
1970,12,3,1,66,4.8674
1970,12,3,2,98,6.1481
1970,12,3,3,110,6.1304
1970,12,3,4,104,6.4405
1970,12,3,5,55,4.5770
1971,1,1,1,200,16.3481
1971,1,1,2,78,12.8725
1971,1,1,3,53,14.5003
1971,1,1,4,82,15.3558
1971,1,1,5,179,15.9307
1971,1,2,1,59,11.9899
1971,1,2,2,42,8.7222
1971,1,2,3,53,10.9403
1971,1,2,4,57,9.8132
1971,1,2,5,75,13.0598
1971,1,3,1,66,4.3907
1971,1,3,2,98,6.0292
1971,1,3,3,110,1.5804
1971,1,3,4,104,6.5186
1971,1,3,5,55,6.8054
1971,2,1,1,200,5.7163
1971,2,1,2,78,3.3615
1971,2,1,3,53,5.0602
1971,2,1,4,82,3.4003
1971,2,1,5,179,5.2084
1971,2,2,1,59,4.0761
1971,2,2,2,42,0.8117
1971,2,2,3,53,3.1647
1971,2,2,4,57,2.9139
1971,2,2,5,75,2.2535
1971,2,3,1,66,2.2391
1971,2,3,2,98,2.1700
1971,2,3,3,110,3.3312
1971,2,3,4,104,-0.6051
1971,2,3,5,55,0.2851
1971,3,1,1,200,7.3993
1971,3,1,2,78,7.5077
1971,3,1,3,53,7.0158
1971,3,1,4,82,3.2592
1971,3,1,5,179,6.7467
1971,3,2,1,59,6.0248
1971,3,2,2,42,8.5621
1971,3,2,3,53,6.4515
1971,3,2,4,57,8.0992
1971,3,2,5,75,5.8620
1971,3,3,1,66,5.6123
