year,month,rank_ME,rank_EP,nstocks,ret_vw
1971,6,3,5,86,-0.7596
1971,7,1,1,146,-7.8032
1971,7,1,2,103,-7.5531
1971,7,1,3,110,-7.1720
1971,7,1,4,117,-6.4623
1971,7,1,5,223,-5.3135
1971,7,2,1,77,-6.1785
1971,7,2,2,69,-6.1430
1971,7,2,3,66,-4.5657
1971,7,2,4,78,-3.0488
1971,7,2,5,97,-4.6693
1971,7,3,1,141,-4.7486
1971,7,3,2,146,-3.3166
1971,7,3,3,125,-4.3441
1971,7,3,4,95,-3.1150
1971,7,3,5,63,-4.0202
1971,8,1,1,146,2.5867
1971,8,1,2,103,3.9813
1971,8,1,3,110,4.9897
1971,8,1,4,117,3.2836
1971,8,1,5,223,5.4307
1971,8,2,1,77,3.6301
1971,8,2,2,69,5.8084
1971,8,2,3,66,5.7759
1971,8,2,4,78,3.4368
1971,8,2,5,97,4.0753
1971,8,3,1,141,6.2603
1971,8,3,2,145,4.7969
1971,8,3,3,124,4.0992
1971,8,3,4,95,-0.4782
1971,8,3,5,63,2.2765
1971,9,1,1,146,-2.3719
