year,month,rank_ME,rank_OCP,nstocks,ret_vw
1976,6,2,4,101,3.8342
1976,6,2,5,81,5.6953
1976,6,3,1,195,4.4311
1976,6,3,2,156,4.0261
1976,6,3,3,129,3.5889
1976,6,3,4,96,5.5696
1976,6,3,5,74,5.9527
1976,7,1,1,274,-1.2306
1976,7,1,2,302,-0.0072
1976,7,1,3,267,0.2115
1976,7,1,4,298,-0.1851
1976,7,1,5,515,0.5274
1976,7,2,1,124,-0.6590
1976,7,2,2,111,-0.8444
1976,7,2,3,117,1.5110
1976,7,2,4,102,0.6931
1976,7,2,5,99,0.5073
1976,7,3,1,192,-1.7518
1976,7,3,2,141,-1.1412
1976,7,3,3,138,0.0848
1976,7,3,4,107,-0.1182
1976,7,3,5,68,0.6302
1976,8,1,1,272,-1.8968
1976,8,1,2,301,-1.6148
1976,8,1,3,266,-2.4170
1976,8,1,4,298,-0.7426
1976,8,1,5,511,-1.7926
1976,8,2,1,123,-4.1020
1976,8,2,2,111,-1.4364
1976,8,2,3,117,-2.2707
1976,8,2,4,101,-1.8089
1976,8,2,5,99,-2.7982
1976,8,3,1,191,-0.0915
1976,8,3,2,141,-0.0811
1976,8,3,3,138,0.3522
1976,8,3,4,107,0.8720
1976,8,3,5,68,-1.8492
1976,9,1,1,254,1.7468
1976,9,1,2,274,1.9120
1976,9,1,3,235,0.9992
1976,9,1,4,268,2.3298
1976,9,1,5,449,1.6398
1976,9,2,1,119,3.3944
1976,9,2,2,109,2.5038
1976,9,2,3,113,3.9525
1976,9,2,4,100,3.7727
1976,9,2,5,96,3.0288
1976,9,3,1,191,1.4995
1976,9,3,2,140,3.0245
1976,9,3,3,137,3.2892
1976,9,3,4,107,4.0838
1976,9,3,5,68,3.3915
1976,10,1,1,270,-3.1612
1976,10,1,2,300,-3.0705
1976,10,1,3,265,-1.6942
1976,10,1,4,292,-0.4816
1976,10,1,5,510,-3.0963
1976,10,2,1,123,-3.8005
1976,10,2,2,110,-1.5284
1976,10,2,3,115,-1.6219
1976,10,2,4,101,-1.7131
1976,10,2,5,97,-3.3832
1976,10,3,1,191,-2.6189
1976,10,3,2,141,-2.3520
1976,10,3,3,138,-2.8481
1976,10,3,4,107,-0.7061
1976,10,3,5,67,-3.3100
1976,11,1,1,268,4.6667
1976,11,1,2,298,1.6952
1976,11,1,3,262,3.6032
1976,11,1,4,292,3.5525
1976,11,1,5,502,2.1774
1976,11,2,1,122,3.0377
1976,11,2,2,109,3.9134
1976,11,2,3,113,2.2562
1976,11,2,4,100,4.7635
1976,11,2,5,97,4.2319
1976,11,3,1,191,-1.1991
1976,11,3,2,140,0.5688
1976,11,3,3,138,0.7472
1976,11,3,4,107,1.9519
1976,11,3,5,67,1.8361
1976,12,1,1,269,8.9941
1976,12,1,2,298,10.9484
1976,12,1,3,264,10.0202
1976,12,1,4,293,8.2945
1976,12,1,5,508,10.2049
1976,12,2,1,123,8.7792
1976,12,2,2,110,9.5829
1976,12,2,3,115,9.3166
1976,12,2,4,101,8.4487
1976,12,2,5,96,10.2210
1976,12,3,1,191,3.4927
1976,12,3,2,141,6.1827
1976,12,3,3,138,6.0199
1976,12,3,4,107,5.3151
1976,12,3,5,67,10.3158
1977,1,1,1,269,2.8710
1977,1,1,2,295,3.4994
1977,1,1,3,261,4.4965
1977,1,1,4,292,4.8776
1977,1,1,5,506,5.9714
1977,1,2,1,121,-0.1792
1977,1,2,2,109,-0.0575
1977,1,2,3,115,2.9197
1977,1,2,4,101,2.0495
1977,1,2,5,95,2.4267
1977,1,3,1,191,-8.8062
1977,1,3,2,140,-3.7261
1977,1,3,3,138,-0.9890
1977,1,3,4,107,-2.0559
1977,1,3,5,67,1.9373
1977,2,1,1,266,0.1227
1977,2,1,2,294,-0.7312
1977,2,1,3,257,-0.3108
1977,2,1,4,285,0.3617
1977,2,1,5,492,-0.1288
1977,2,2,1,119,-1.9238
1977,2,2,2,107,-0.9258
1977,2,2,3,112,0.3512
1977,2,2,4,99,-0.6738
