year,month,rank_ME,rank_DTV_12,nstocks,ret_vw
1971,1,3,4,342,5.1715
1971,1,3,5,312,4.1396
1971,2,1,1,940,6.5774
1971,2,1,2,377,5.2351
1971,2,1,3,190,4.3010
1971,2,1,4,54,5.3154
1971,2,1,5,12,0.8115
1971,2,2,1,201,2.1748
1971,2,2,2,344,2.5050
1971,2,2,3,301,3.7592
1971,2,2,4,164,3.0133
1971,2,2,5,61,2.4852
1971,2,3,1,31,-1.0256
1971,2,3,2,117,0.9628
1971,2,3,3,251,2.7253
1971,2,3,4,345,1.5599
1971,2,3,5,315,1.3600
1971,3,1,1,942,5.7266
1971,3,1,2,389,6.3657
1971,3,1,3,190,6.4750
1971,3,1,4,52,7.2799
1971,3,1,5,12,7.0089
1971,3,2,1,202,3.9940
1971,3,2,2,343,5.0618
1971,3,2,3,300,5.9012
1971,3,2,4,160,8.9304
1971,3,2,5,59,12.8844
1971,3,3,1,30,2.7700
1971,3,3,2,116,4.1770
1971,3,3,3,256,2.2903
1971,3,3,4,344,3.6821
1971,3,3,5,311,4.2783
1971,4,1,1,945,2.0620
1971,4,1,2,398,2.8068
1971,4,1,3,181,0.0649
1971,4,1,4,49,0.8940
1971,4,1,5,11,5.8180
1971,4,2,1,198,2.2031
1971,4,2,2,340,3.5982
1971,4,2,3,298,4.2360
1971,4,2,4,153,3.7866
1971,4,2,5,53,3.5267
1971,4,3,1,27,4.3649
1971,4,3,2,114,2.0324
1971,4,3,3,259,2.9512
1971,4,3,4,343,2.8006
1971,4,3,5,306,3.8588
1971,5,1,1,950,-5.6881
1971,5,1,2,399,-7.0480
1971,5,1,3,176,-8.1974
1971,5,1,4,51,-8.8794
1971,5,1,5,10,-13.1546
1971,5,2,1,204,-3.4419
1971,5,2,2,350,-4.0916
1971,5,2,3,310,-4.7269
1971,5,2,4,150,-4.9870
1971,5,2,5,52,-1.5096
1971,5,3,1,26,-3.5836
1971,5,3,2,115,-2.4971
1971,5,3,3,259,-3.5319
1971,5,3,4,341,-2.7927
1971,5,3,5,303,-3.6129
1971,6,1,1,947,-2.6714
1971,6,1,2,395,-2.5743
1971,6,1,3,167,-2.6121
1971,6,1,4,48,-8.6523
1971,6,1,5,12,-6.9164
1971,6,2,1,202,-1.4813
1971,6,2,2,348,-0.0001
1971,6,2,3,307,-0.2249
1971,6,2,4,150,-0.9977
1971,6,2,5,50,-1.0899
1971,6,3,1,26,-0.9932
1971,6,3,2,113,-0.4323
1971,6,3,3,263,-0.0256
1971,6,3,4,345,0.7272
1971,6,3,5,303,0.5133
1971,7,1,1,940,-5.2813
1971,7,1,2,390,-8.3051
1971,7,1,3,158,-10.4097
1971,7,1,4,42,-14.7955
1971,7,1,5,10,-8.2210
1971,7,2,1,202,-2.5473
1971,7,2,2,346,-4.3743
1971,7,2,3,304,-5.4357
1971,7,2,4,145,-7.8121
1971,7,2,5,43,-12.8239
1971,7,3,1,24,-2.5391
1971,7,3,2,112,-1.9927
1971,7,3,3,266,-1.7257
1971,7,3,4,345,-3.8846
1971,7,3,5,303,-4.3332
1971,8,1,1,945,4.1908
1971,8,1,2,382,4.8454
1971,8,1,3,143,4.2322
1971,8,1,4,37,0.3480
1971,8,1,5,8,3.2989
1971,8,2,1,200,3.3953
1971,8,2,2,350,4.6867
1971,8,2,3,313,5.7462
1971,8,2,4,144,6.5136
1971,8,2,5,36,5.6713
1971,8,3,1,24,1.0451
1971,8,3,2,110,2.1828
1971,8,3,3,269,3.1464
1971,8,3,4,341,4.7386
