year,month,rank_ME,rank_RER,nstocks,ret_vw
1974,9,3,1,74,-15.8685
1974,9,3,2,69,-14.5602
1974,9,3,3,74,-15.0264
1974,9,3,4,58,-14.6742
1974,9,3,5,86,-11.7126
1974,10,1,1,271,8.5908
1974,10,1,2,167,8.4849
1974,10,1,3,189,6.5774
1974,10,1,4,177,9.0341
1974,10,1,5,294,6.2661
1974,10,2,1,75,8.8096
1974,10,2,2,55,10.7457
1974,10,2,3,67,7.6583
1974,10,2,4,75,3.6494
1974,10,2,5,70,13.1374
1974,10,3,1,74,17.1557
1974,10,3,2,69,8.3589
1974,10,3,3,74,19.2335
1974,10,3,4,58,24.1780
1974,10,3,5,86,10.2684
1974,11,1,1,269,-6.0251
1974,11,1,2,167,-3.6064
1974,11,1,3,188,-7.7941
1974,11,1,4,176,-7.2498
1974,11,1,5,296,-6.3279
1974,11,2,1,75,-3.2509
1974,11,2,2,55,-4.1943
1974,11,2,3,67,-6.3491
1974,11,2,4,75,-5.7259
1974,11,2,5,70,-5.9741
1974,11,3,1,74,-4.7090
1974,11,3,2,69,-6.8097
1974,11,3,3,74,-4.5287
1974,11,3,4,58,-4.2522
1974,11,3,5,86,-5.6107
1974,12,1,1,268,-6.9673
1974,12,1,2,167,-7.9067
1974,12,1,3,188,-8.5133
1974,12,1,4,173,-9.5404
1974,12,1,5,296,-7.5521
1974,12,2,1,75,-6.3049
1974,12,2,2,55,-7.3587
1974,12,2,3,68,-4.9153
1974,12,2,4,75,-6.7013
1974,12,2,5,70,-8.3839
1974,12,3,1,74,-3.4475
1974,12,3,2,69,-2.1749
1974,12,3,3,73,-2.0535
1974,12,3,4,58,-5.6354
1974,12,3,5,86,-3.1557
1975,1,1,1,268,28.8493
1975,1,1,2,167,33.1605
1975,1,1,3,188,33.3999
1975,1,1,4,174,31.2799
1975,1,1,5,292,27.5720
1975,1,2,1,75,27.6576
1975,1,2,2,55,27.0371
1975,1,2,3,68,30.5988
1975,1,2,4,75,31.1008
1975,1,2,5,70,28.9172
1975,1,3,1,74,10.7893
1975,1,3,2,69,20.7963
1975,1,3,3,74,15.9801
1975,1,3,4,58,7.7545
1975,1,3,5,86,16.6681
1975,2,1,1,268,4.9418
1975,2,1,2,165,4.7032
1975,2,1,3,185,3.3991
1975,2,1,4,174,4.9538
1975,2,1,5,291,4.6801
1975,2,2,1,75,5.6238
1975,2,2,2,54,7.7406
1975,2,2,3,68,3.9038
1975,2,2,4,75,4.1815
