year,month,rank_ME,rank_Fq_12,nstocks,ret_vw
1989,4,2,3,343,5.5442
1989,4,2,4,303,5.2932
1989,4,2,5,263,5.7997
1989,4,3,1,133,4.6462
1989,4,3,2,187,5.1145
1989,4,3,3,278,5.8674
1989,4,3,4,292,5.6523
1989,4,3,5,262,6.0195
1989,5,1,1,1115,3.0944
1989,5,1,2,1120,3.5204
1989,5,1,3,1261,3.9205
1989,5,1,4,1085,3.2124
1989,5,1,5,917,4.0265
1989,5,2,1,237,5.1126
1989,5,2,2,292,5.0672
1989,5,2,3,357,4.8878
1989,5,2,4,314,4.7386
1989,5,2,5,273,3.8611
1989,5,3,1,145,5.8977
1989,5,3,2,197,4.4998
1989,5,3,3,288,5.1347
1989,5,3,4,296,4.4716
1989,5,3,5,281,3.2820
1989,6,1,1,1118,-1.8668
1989,6,1,2,1122,-1.4853
1989,6,1,3,1251,-1.7978
1989,6,1,4,1073,-1.6361
1989,6,1,5,922,-1.7310
1989,6,2,1,230,-3.1976
1989,6,2,2,285,-1.7063
1989,6,2,3,358,-2.5082
1989,6,2,4,315,-3.2064
1989,6,2,5,274,-2.7638
1989,6,3,1,146,-2.2835
1989,6,3,2,195,-0.8632
1989,6,3,3,286,-0.7181
1989,6,3,4,296,-1.6412
1989,6,3,5,283,-1.7764
1989,7,1,1,989,3.3417
1989,7,1,2,1006,3.8417
1989,7,1,3,1090,3.0031
1989,7,1,4,967,3.8283
1989,7,1,5,823,4.6254
1989,7,2,1,206,4.4997
1989,7,2,2,262,3.1716
1989,7,2,3,320,5.1384
1989,7,2,4,285,4.9950
1989,7,2,5,247,4.8887
1989,7,3,1,120,6.8620
1989,7,3,2,175,8.1022
1989,7,3,3,261,9.0339
1989,7,3,4,263,9.8086
1989,7,3,5,246,9.3297
1989,8,1,1,1151,1.4025
1989,8,1,2,1124,1.9992
1989,8,1,3,1184,1.6048
1989,8,1,4,1057,2.3666
1989,8,1,5,901,2.2540
1989,8,2,1,232,3.2896
1989,8,2,2,296,3.4140
1989,8,2,3,350,3.8802
