year,month,rank_ME,rank_GLAq_12,nstocks,ret_vw
1979,11,2,4,248,7.2510
1979,11,2,5,207,8.4535
1979,11,3,1,225,6.1072
1979,11,3,2,253,6.9903
1979,11,3,3,261,5.5651
1979,11,3,4,230,4.7080
1979,11,3,5,189,5.6121
1979,12,1,1,297,8.0039
1979,12,1,2,374,7.5468
1979,12,1,3,410,6.6015
1979,12,1,4,451,8.6228
1979,12,1,5,375,7.9828
1979,12,2,1,170,4.6724
1979,12,2,2,228,9.1752
1979,12,2,3,244,7.0622
1979,12,2,4,252,6.4566
1979,12,2,5,212,4.6840
1979,12,3,1,227,0.5347
1979,12,3,2,254,4.2241
1979,12,3,3,263,2.4402
1979,12,3,4,232,2.4116
1979,12,3,5,189,1.2871
1980,1,1,1,282,10.2946
1980,1,1,2,355,12.1046
1980,1,1,3,383,12.6364
1980,1,1,4,439,10.9647
1980,1,1,5,364,7.0186
1980,1,2,1,171,8.0602
1980,1,2,2,227,9.9242
1980,1,2,3,237,6.3715
1980,1,2,4,243,8.0022
1980,1,2,5,210,3.7146
1980,1,3,1,219,3.7121
1980,1,3,2,250,10.7920
1980,1,3,3,252,9.7810
1980,1,3,4,225,5.1020
1980,1,3,5,187,1.7576
1980,2,1,1,290,-2.1451
1980,2,1,2,370,-0.1126
1980,2,1,3,403,-2.5599
1980,2,1,4,446,-1.5149
1980,2,1,5,364,-2.7701
1980,2,2,1,171,-0.5663
1980,2,2,2,238,1.4587
1980,2,2,3,244,-2.4592
1980,2,2,4,245,-4.0365
1980,2,2,5,211,-2.3374
1980,2,3,1,226,-1.5835
1980,2,3,2,261,3.2091
1980,2,3,3,266,4.9082
1980,2,3,4,234,-1.6094
1980,2,3,5,189,-4.9255
1980,3,1,1,288,-19.2911
1980,3,1,2,365,-19.4225
1980,3,1,3,404,-19.9120
1980,3,1,4,443,-17.8755
1980,3,1,5,365,-17.6731
1980,3,2,1,167,-15.6521
1980,3,2,2,237,-19.9365
1980,3,2,3,251,-17.4656
1980,3,2,4,243,-16.7480
1980,3,2,5,212,-15.1921
1980,3,3,1,226,-7.5284
1980,3,3,2,260,-14.6822
1980,3,3,3,269,-13.2892
1980,3,3,4,237,-10.2377
1980,3,3,5,188,-7.0678
1980,4,1,1,275,7.4115
1980,4,1,2,351,5.5340
1980,4,1,3,381,5.5529
1980,4,1,4,424,5.4269
1980,4,1,5,356,7.4026
1980,4,2,1,163,10.8361
1980,4,2,2,233,5.9804
1980,4,2,3,241,4.5709
1980,4,2,4,239,5.0129
1980,4,2,5,208,3.8948
1980,4,3,1,216,8.6537
1980,4,3,2,251,5.8464
1980,4,3,3,258,3.8282
1980,4,3,4,231,3.8894
1980,4,3,5,187,2.1985
1980,5,1,1,280,7.2063
1980,5,1,2,366,5.6870
1980,5,1,3,392,5.0567
1980,5,1,4,435,5.9370
1980,5,1,5,359,8.3456
1980,5,2,1,170,7.4669
1980,5,2,2,247,8.6571
1980,5,2,3,252,8.0671
1980,5,2,4,245,8.8568
1980,5,2,5,210,8.7540
1980,5,3,1,228,4.3378
1980,5,3,2,263,6.0731
1980,5,3,3,265,5.2825
1980,5,3,4,239,6.1509
1980,5,3,5,187,6.2915
1980,6,1,1,280,4.2779
1980,6,1,2,363,4.1832
1980,6,1,3,396,2.9154
1980,6,1,4,431,3.3629
1980,6,1,5,360,3.5177
1980,6,2,1,167,5.5373
1980,6,2,2,247,4.7368
1980,6,2,3,251,4.8511
1980,6,2,4,248,3.3824
1980,6,2,5,211,2.7554
1980,6,3,1,229,2.5745
1980,6,3,2,262,4.7319
1980,6,3,3,266,4.4049
1980,6,3,4,240,1.9048
1980,6,3,5,187,1.9647
1980,7,1,1,264,8.3671
1980,7,1,2,344,12.3825
1980,7,1,3,375,11.4290
1980,7,1,4,416,11.7139
1980,7,1,5,354,14.2482
1980,7,2,1,162,3.9833
1980,7,2,2,233,9.8947
1980,7,2,3,236,12.8191
1980,7,2,4,242,14.0868
1980,7,2,5,208,15.1130
1980,7,3,1,216,2.4427
1980,7,3,2,254,6.3992
1980,7,3,3,255,6.5349
1980,7,3,4,229,8.8771
1980,7,3,5,179,11.3051
1980,8,1,1,267,5.4709
1980,8,1,2,351,6.4989
1980,8,1,3,399,8.9114
1980,8,1,4,432,9.2540
1980,8,1,5,355,8.9283
1980,8,2,1,171,0.7396
1980,8,2,2,239,7.0442
1980,8,2,3,241,5.5970
1980,8,2,4,253,4.6589
1980,8,2,5,215,7.6525
1980,8,3,1,220,0.8216
1980,8,3,2,263,2.6137
1980,8,3,3,264,2.0522
1980,8,3,4,242,1.8270
1980,8,3,5,180,0.8813
1980,9,1,1,270,4.3562
1980,9,1,2,342,2.4531
1980,9,1,3,404,2.1174
