year,month,rank_ME,rank_EG_1,nstocks,ret_vw
1971,4,1,2,116,2.6475
1971,4,1,3,94,4.0750
1971,4,1,4,85,0.8574
1971,4,1,5,159,2.3155
1971,4,2,1,77,2.3124
1971,4,2,2,59,2.6994
1971,4,2,3,56,3.6307
1971,4,2,4,50,4.1596
1971,4,2,5,67,5.7887
1971,4,3,1,82,6.3706
1971,4,3,2,91,5.5918
1971,4,3,3,92,5.4917
1971,4,3,4,97,4.7562
1971,4,3,5,82,1.9786
1971,5,1,1,246,-8.4394
1971,5,1,2,125,-7.1460
1971,5,1,3,110,-6.0453
1971,5,1,4,106,-6.0248
1971,5,1,5,177,-4.4052
1971,5,2,1,77,-6.7365
1971,5,2,2,59,-2.5108
1971,5,2,3,58,-4.6687
1971,5,2,4,60,-4.0559
1971,5,2,5,75,-3.5557
1971,5,3,1,86,-4.0653
1971,5,3,2,101,-2.1736
1971,5,3,3,90,-2.7967
1971,5,3,4,105,-3.3720
1971,5,3,5,84,-4.6295
1971,6,1,1,248,-3.6865
1971,6,1,2,125,-1.8731
1971,6,1,3,114,-3.3189
1971,6,1,4,103,-2.7788
1971,6,1,5,179,-1.3549
1971,6,2,1,69,-1.7005
1971,6,2,2,59,-1.2651
1971,6,2,3,63,-0.4878
1971,6,2,4,62,-2.2150
1971,6,2,5,75,-0.9693
1971,6,3,1,85,-2.9515
1971,6,3,2,103,-0.3909
1971,6,3,3,87,0.9417
1971,6,3,4,110,0.5842
1971,6,3,5,84,0.9840
1971,7,1,1,253,-7.7961
1971,7,1,2,117,-6.8206
1971,7,1,3,109,-5.4525
1971,7,1,4,102,-4.3151
1971,7,1,5,187,-7.2099
1971,7,2,1,63,-5.4725
1971,7,2,2,62,-7.2108
1971,7,2,3,65,-4.8662
1971,7,2,4,58,-5.7147
1971,7,2,5,75,-3.6692
1971,7,3,1,85,-6.2493
1971,7,3,2,101,-3.7806
1971,7,3,3,88,-2.4499
1971,7,3,4,106,-3.7733
1971,7,3,5,85,-4.6410
1971,8,1,1,216,2.6665
1971,8,1,2,126,4.9211
1971,8,1,3,132,4.0477
1971,8,1,4,104,6.2511
1971,8,1,5,195,4.9958
1971,8,2,1,67,4.4066
1971,8,2,2,71,5.8792
1971,8,2,3,51,7.7388
1971,8,2,4,62,5.5618
1971,8,2,5,71,4.9245
1971,8,3,1,90,5.6871
1971,8,3,2,92,4.3536
1971,8,3,3,99,5.0906
1971,8,3,4,101,2.6703
1971,8,3,5,84,6.1520
