year,month,rank_ME,rank_COP,nstocks,ret_vw
1970,7,3,4,108,10.5134
1970,7,3,5,109,4.2490
1970,8,1,1,294,5.6169
1970,8,1,2,113,7.9624
1970,8,1,3,98,7.7656
1970,8,1,4,100,6.3955
1970,8,1,5,101,6.1470
1970,8,2,1,81,7.3710
1970,8,2,2,67,7.3149
1970,8,2,3,52,6.7752
1970,8,2,4,51,4.1583
1970,8,2,5,58,7.2654
1970,8,3,1,52,7.5999
1970,8,3,2,74,5.5413
1970,8,3,3,86,6.4563
1970,8,3,4,108,3.6907
1970,8,3,5,109,4.8975
1970,9,1,1,293,17.5870
1970,9,1,2,113,14.2109
1970,9,1,3,96,12.8477
1970,9,1,4,100,13.8488
1970,9,1,5,101,13.9643
1970,9,2,1,80,15.4201
1970,9,2,2,67,12.9544
1970,9,2,3,52,12.8628
1970,9,2,4,51,6.9539
1970,9,2,5,58,9.3407
1970,9,3,1,51,9.6883
1970,9,3,2,74,5.0416
1970,9,3,3,86,3.2238
1970,9,3,4,108,2.6941
1970,9,3,5,109,4.3487
1970,10,1,1,292,-11.3318
1970,10,1,2,113,-6.9434
1970,10,1,3,97,-6.8892
1970,10,1,4,100,-5.2124
1970,10,1,5,101,-5.4259
1970,10,2,1,80,-6.5852
1970,10,2,2,67,-5.5213
1970,10,2,3,52,-6.8815
1970,10,2,4,51,-4.6853
1970,10,2,5,57,-4.3085
1970,10,3,1,51,-4.0783
1970,10,3,2,74,-2.1909
1970,10,3,3,86,-2.3107
1970,10,3,4,108,-0.7622
1970,10,3,5,109,0.0724
1970,11,1,1,291,-3.5372
1970,11,1,2,112,0.1419
1970,11,1,3,97,-2.3797
1970,11,1,4,99,0.0019
1970,11,1,5,101,1.4589
1970,11,2,1,80,0.6804
1970,11,2,2,67,0.4861
1970,11,2,3,52,2.5714
1970,11,2,4,50,4.8245
1970,11,2,5,57,4.1777
1970,11,3,1,51,2.8023
1970,11,3,2,74,6.0983
1970,11,3,3,86,3.7753
1970,11,3,4,108,4.6511
1970,11,3,5,109,5.4964
1970,12,1,1,289,7.8474
1970,12,1,2,112,10.5908
1970,12,1,3,97,10.8858
1970,12,1,4,98,11.5674
1970,12,1,5,101,10.4961
1970,12,2,1,80,8.0739
1970,12,2,2,67,11.1963
1970,12,2,3,52,6.0094
1970,12,2,4,50,8.9526
1970,12,2,5,57,10.0114
1970,12,3,1,51,6.6276
1970,12,3,2,74,5.1979
1970,12,3,3,85,6.7839
1970,12,3,4,108,6.3487
1970,12,3,5,109,5.0980
1971,1,1,1,287,16.9430
1971,1,1,2,111,15.7295
1971,1,1,3,97,13.9025
1971,1,1,4,99,11.3726
1971,1,1,5,101,15.4706
1971,1,2,1,78,13.1363
1971,1,2,2,67,8.1693
1971,1,2,3,52,14.8996
1971,1,2,4,50,7.9036
1971,1,2,5,57,10.4365
1971,1,3,1,51,7.7880
1971,1,3,2,74,5.2181
1971,1,3,3,85,5.7436
1971,1,3,4,108,4.1318
1971,1,3,5,109,3.5299
1971,2,1,1,285,6.3881
1971,2,1,2,110,4.3932
1971,2,1,3,97,4.9629
1971,2,1,4,98,3.0277
1971,2,1,5,101,3.8298
1971,2,2,1,78,2.2486
1971,2,2,2,67,1.7018
1971,2,2,3,51,3.6090
1971,2,2,4,50,3.9133
1971,2,2,5,57,3.8955
1971,2,3,1,51,3.5760
1971,2,3,2,74,0.8268
1971,2,3,3,85,2.5551
1971,2,3,4,107,1.5846
1971,2,3,5,109,1.9718
1971,3,1,1,284,5.0325
1971,3,1,2,110,7.0608
1971,3,1,3,97,6.2745
1971,3,1,4,98,7.6746
1971,3,1,5,101,8.2424
1971,3,2,1,78,7.2056
1971,3,2,2,67,5.6971
1971,3,2,3,51,6.3903
1971,3,2,4,50,5.7137
1971,3,2,5,57,9.7483
1971,3,3,1,51,6.4986
1971,3,3,2,74,4.4563
1971,3,3,3,85,3.1710
1971,3,3,4,107,2.5070
1971,3,3,5,108,4.9648
1971,4,1,1,283,3.0728
1971,4,1,2,110,0.5548
1971,4,1,3,97,3.3291
1971,4,1,4,98,2.3817
1971,4,1,5,100,2.5125
1971,4,2,1,76,2.6405
1971,4,2,2,67,5.3981
1971,4,2,3,51,4.8626
1971,4,2,4,50,4.4437
1971,4,2,5,57,5.2234
1971,4,3,1,51,5.0078
1971,4,3,2,74,7.1699
1971,4,3,3,85,6.1741
1971,4,3,4,107,3.5683
1971,4,3,5,108,3.4645
1971,5,1,1,281,-7.6226
1971,5,1,2,109,-6.5289
1971,5,1,3,96,-5.1718
1971,5,1,4,98,-7.1135
1971,5,1,5,99,-4.5532
1971,5,2,1,76,-6.4352
1971,5,2,2,67,-6.0699
1971,5,2,3,51,-2.5913
1971,5,2,4,50,-1.9914
1971,5,2,5,57,-3.4252
1971,5,3,1,51,-3.0169
1971,5,3,2,74,-3.2096
1971,5,3,3,85,-3.6127
1971,5,3,4,107,-4.2528
1971,5,3,5,108,-3.2426
1971,6,1,1,275,-2.9759
1971,6,1,2,109,-2.6324
1971,6,1,3,96,-2.6708
1971,6,1,4,98,-1.1721
1971,6,1,5,99,-2.5127
1971,6,2,1,76,-0.9150
1971,6,2,2,67,-0.0941
1971,6,2,3,51,-1.2914
1971,6,2,4,50,-2.4489
1971,6,2,5,56,-0.5344
1971,6,3,1,51,-1.8732
1971,6,3,2,74,-1.1480
1971,6,3,3,85,-0.7567
1971,6,3,4,107,0.6005
1971,6,3,5,107,0.5763
1971,7,1,1,261,-6.8718
1971,7,1,2,150,-7.1992
1971,7,1,3,115,-5.4018
1971,7,1,4,122,-5.8856
1971,7,1,5,115,-7.7557
1971,7,2,1,67,-5.8941
1971,7,2,2,65,-5.7670
1971,7,2,3,67,-6.3600
1971,7,2,4,66,-6.2720
1971,7,2,5,59,-1.9544
1971,7,3,1,65,-8.3300
1971,7,3,2,89,-4.6885
1971,7,3,3,94,-3.6742
1971,7,3,4,99,-2.8604
1971,7,3,5,115,-4.1583
1971,8,1,1,260,3.8613
1971,8,1,2,150,3.6142
1971,8,1,3,115,5.9903
1971,8,1,4,122,5.1883
1971,8,1,5,115,3.4646
1971,8,2,1,67,5.1517
1971,8,2,2,65,6.4228
1971,8,2,3,67,4.9379
1971,8,2,4,66,5.9711
1971,8,2,5,59,4.2888
1971,8,3,1,65,7.8262
1971,8,3,2,89,8.0560
1971,8,3,3,94,1.1928
1971,8,3,4,97,2.0455
1971,8,3,5,115,6.0586
1971,9,1,1,260,-1.4767
