year,month,rank_ME,rank_Fq_6,nstocks,ret_vw
1989,1,3,5,179,8.0352
1989,2,1,1,837,0.2037
1989,2,1,2,805,0.0649
1989,2,1,3,892,0.4005
1989,2,1,4,798,1.2349
1989,2,1,5,646,1.2264
1989,2,2,1,177,0.9343
1989,2,2,2,208,1.1135
1989,2,2,3,264,1.0070
1989,2,2,4,232,0.7196
1989,2,2,5,198,1.4491
1989,2,3,1,103,-0.5268
1989,2,3,2,138,-2.1922
1989,2,3,3,230,-1.8295
1989,2,3,4,230,-1.4367
1989,2,3,5,200,-2.3247
1989,3,1,1,829,1.1107
1989,3,1,2,802,2.9318
1989,3,1,3,892,2.7573
1989,3,1,4,795,3.4353
1989,3,1,5,649,3.8729
1989,3,2,1,178,2.9620
1989,3,2,2,207,1.9262
1989,3,2,3,260,2.5563
1989,3,2,4,229,3.6824
1989,3,2,5,192,2.8879
1989,3,3,1,101,2.3444
1989,3,3,2,140,1.9709
1989,3,3,3,226,2.8196
1989,3,3,4,234,3.0198
1989,3,3,5,204,2.7736
1989,4,1,1,717,2.3280
1989,4,1,2,657,2.6920
1989,4,1,3,742,3.2831
1989,4,1,4,653,3.3874
1989,4,1,5,555,3.3319
1989,4,2,1,153,3.5782
1989,4,2,2,169,5.1431
1989,4,2,3,216,5.0123
1989,4,2,4,192,5.7291
1989,4,2,5,182,6.1337
1989,4,3,1,80,4.7457
1989,4,3,2,111,4.5592
1989,4,3,3,183,6.0235
1989,4,3,4,195,5.6927
1989,4,3,5,176,6.3358
1989,5,1,1,788,2.5704
1989,5,1,2,736,2.6876
1989,5,1,3,834,3.6424
1989,5,1,4,740,3.4682
1989,5,1,5,631,4.4497
1989,5,2,1,170,5.2249
1989,5,2,2,183,5.2123
1989,5,2,3,233,5.4773
1989,5,2,4,210,4.7968
1989,5,2,5,191,3.7965
1989,5,3,1,90,6.0088
1989,5,3,2,124,4.3075
1989,5,3,3,195,4.7933
1989,5,3,4,204,4.7017
1989,5,3,5,198,3.3471
1989,6,1,1,792,-2.8535
1989,6,1,2,752,-1.3742
1989,6,1,3,823,-1.9812
1989,6,1,4,736,-1.1221
1989,6,1,5,630,-1.8916
1989,6,2,1,163,-3.9058
1989,6,2,2,178,-2.3468
1989,6,2,3,230,-2.2975
1989,6,2,4,203,-3.1511
1989,6,2,5,198,-2.8063
1989,6,3,1,89,-1.7348
1989,6,3,2,127,-0.6994
1989,6,3,3,196,-0.8050
1989,6,3,4,201,-1.4348
1989,6,3,5,202,-1.9522
1989,7,1,1,638,2.5804
1989,7,1,2,594,3.2965
1989,7,1,3,647,3.2388
1989,7,1,4,576,4.1127
1989,7,1,5,511,4.7661
1989,7,2,1,127,4.9538
1989,7,2,2,150,3.7404
1989,7,2,3,172,3.8765
1989,7,2,4,165,5.4750
1989,7,2,5,171,5.0316
1989,7,3,1,74,6.5015
1989,7,3,2,96,7.3056
1989,7,3,3,141,9.3479
1989,7,3,4,151,9.5316
1989,7,3,5,160,9.5274
1989,8,1,1,830,0.5606
1989,8,1,2,763,1.8560
1989,8,1,3,807,1.4224
1989,8,1,4,680,2.1109
1989,8,1,5,602,3.0419
1989,8,2,1,159,2.8751
1989,8,2,2,194,4.4466
1989,8,2,3,218,3.1880
1989,8,2,4,192,3.5340
1989,8,2,5,199,3.3047
1989,8,3,1,115,3.4172
1989,8,3,2,141,1.6677
1989,8,3,3,182,1.1717
1989,8,3,4,196,2.9503
1989,8,3,5,187,5.0031
1989,9,1,1,856,-0.5090
1989,9,1,2,780,-0.7379
1989,9,1,3,816,0.8262
