year,month,rank_ME,rank_SGq_1,nstocks,ret_vw
1970,12,2,5,88,6.8534
1970,12,3,1,65,6.3294
1970,12,3,2,101,6.4217
1970,12,3,3,126,5.4616
1970,12,3,4,135,6.8193
1970,12,3,5,130,4.9200
1971,1,1,1,267,17.6063
1971,1,1,2,127,15.7230
1971,1,1,3,88,13.2118
1971,1,1,4,71,16.2343
1971,1,1,5,144,14.8692
1971,1,2,1,84,12.1647
1971,1,2,2,69,8.1091
1971,1,2,3,57,10.6405
1971,1,2,4,59,10.3564
1971,1,2,5,85,8.1813
1971,1,3,1,65,3.0534
1971,1,3,2,99,4.1509
1971,1,3,3,126,3.3552
1971,1,3,4,138,5.4656
1971,1,3,5,129,6.3177
1971,2,1,1,273,5.6000
1971,2,1,2,121,5.3062
1971,2,1,3,81,5.7085
1971,2,1,4,70,8.0013
1971,2,1,5,149,6.2982
1971,2,2,1,78,4.0250
1971,2,2,2,65,2.0629
1971,2,2,3,66,2.9449
1971,2,2,4,55,2.7298
1971,2,2,5,88,3.7143
1971,2,3,1,63,1.2967
1971,2,3,2,107,1.9757
1971,2,3,3,121,1.7961
1971,2,3,4,138,0.1840
1971,2,3,5,127,2.3567
1971,3,1,1,298,5.9138
1971,3,1,2,115,7.1392
1971,3,1,3,75,7.2428
1971,3,1,4,67,7.0258
1971,3,1,5,137,6.3854
1971,3,2,1,75,5.6117
1971,3,2,2,65,6.9683
1971,3,2,3,66,6.5443
1971,3,2,4,59,5.6914
1971,3,2,5,97,6.7774
1971,3,3,1,67,3.8950
1971,3,3,2,109,3.3316
1971,3,3,3,120,4.3413
1971,3,3,4,133,3.7660
1971,3,3,5,129,4.9880
1971,4,1,1,295,2.5853
1971,4,1,2,119,2.7021
1971,4,1,3,70,2.1865
1971,4,1,4,59,1.2985
1971,4,1,5,146,1.9006
1971,4,2,1,76,2.6646
1971,4,2,2,69,4.1627
1971,4,2,3,60,2.4730
1971,4,2,4,62,4.4570
1971,4,2,5,96,3.8149
1971,4,3,1,64,5.7496
1971,4,3,2,107,5.7231
1971,4,3,3,128,2.3377
1971,4,3,4,129,1.8623
1971,4,3,5,127,5.1053
1971,5,1,1,279,-7.5434
1971,5,1,2,139,-7.2923
1971,5,1,3,107,-5.5241
1971,5,1,4,72,-5.6089
1971,5,1,5,140,-4.9344
1971,5,2,1,83,-6.0151
1971,5,2,2,71,-4.8699
1971,5,2,3,63,-2.9656
1971,5,2,4,60,-4.6870
1971,5,2,5,93,-3.5549
1971,5,3,1,85,-4.3767
1971,5,3,2,95,-2.2959
1971,5,3,3,118,-3.7988
1971,5,3,4,135,-3.7494
1971,5,3,5,142,-2.7504
1971,6,1,1,267,-2.9798
1971,6,1,2,142,-3.7109
1971,6,1,3,113,-1.5113
1971,6,1,4,71,-2.2815
1971,6,1,5,140,-2.0408
1971,6,2,1,76,-4.6347
1971,6,2,2,74,-1.7996
1971,6,2,3,63,-0.6041
1971,6,2,4,60,1.2245
1971,6,2,5,91,0.5447
1971,6,3,1,85,-2.7601
1971,6,3,2,94,-0.8960
1971,6,3,3,118,-0.6293
1971,6,3,4,137,2.2368
1971,6,3,5,145,2.5456
1971,7,1,1,269,-7.6461
1971,7,1,2,144,-5.4618
1971,7,1,3,116,-4.6048
1971,7,1,4,77,-7.2411
1971,7,1,5,132,-6.2483
1971,7,2,1,70,-7.0739
1971,7,2,2,72,-3.9069
1971,7,2,3,67,-4.4404
1971,7,2,4,62,-3.0217
1971,7,2,5,87,-3.7800
1971,7,3,1,85,-5.2517
1971,7,3,2,96,-3.5672
1971,7,3,3,115,-4.8849
1971,7,3,4,138,-3.1654
