year,month,rank_ME,rank_OCA,nstocks,ret_vw
1970,5,2,2,65,-9.9435
1970,5,2,3,63,-12.1583
1970,5,2,4,70,-10.9530
1970,5,2,5,60,-8.7279
1970,5,3,1,105,-4.3657
1970,5,3,2,82,-2.7670
1970,5,3,3,90,-7.2147
1970,5,3,4,81,-7.9906
1970,5,3,5,87,-7.3870
1970,6,1,1,104,-8.5756
1970,6,1,2,138,-10.7785
1970,6,1,3,158,-9.1711
1970,6,1,4,125,-10.3464
1970,6,1,5,184,-5.6480
1970,6,2,1,58,-9.5076
1970,6,2,2,65,-6.7142
1970,6,2,3,63,-8.0567
1970,6,2,4,69,-6.9779
1970,6,2,5,60,-6.5766
1970,6,3,1,105,-5.3190
1970,6,3,2,82,-3.5586
1970,6,3,3,90,-6.0218
1970,6,3,4,81,-7.1536
1970,6,3,5,87,-2.3003
1970,7,1,1,118,5.9389
1970,7,1,2,156,6.0534
1970,7,1,3,173,4.4931
1970,7,1,4,169,3.5742
1970,7,1,5,197,4.4187
1970,7,2,1,70,4.9969
1970,7,2,2,68,10.5751
1970,7,2,3,69,5.0207
1970,7,2,4,69,7.1093
1970,7,2,5,72,9.6848
1970,7,3,1,105,9.3155
1970,7,3,2,85,8.6003
1970,7,3,3,96,7.1520
1970,7,3,4,82,4.1346
1970,7,3,5,84,5.9111
1970,8,1,1,118,6.1530
1970,8,1,2,155,5.0803
1970,8,1,3,173,8.6188
1970,8,1,4,168,6.4723
1970,8,1,5,196,5.0943
1970,8,2,1,69,8.2672
1970,8,2,2,68,7.9798
1970,8,2,3,69,7.1483
1970,8,2,4,69,7.0722
1970,8,2,5,72,3.8878
1970,8,3,1,104,3.5744
1970,8,3,2,85,6.5096
1970,8,3,3,96,7.0694
1970,8,3,4,82,5.2544
1970,8,3,5,84,2.2003
1970,9,1,1,118,15.1465
1970,9,1,2,155,16.5503
1970,9,1,3,173,13.9544
1970,9,1,4,166,16.0631
1970,9,1,5,196,14.7343
1970,9,2,1,69,16.3102
1970,9,2,2,68,10.5409
1970,9,2,3,68,14.8882
1970,9,2,4,69,9.8039
1970,9,2,5,72,10.2717
1970,9,3,1,104,2.2605
1970,9,3,2,85,1.4992
1970,9,3,3,96,5.4443
1970,9,3,4,81,7.5171
1970,9,3,5,84,6.0192
1970,10,1,1,118,-6.2076
1970,10,1,2,154,-8.1001
1970,10,1,3,172,-10.8653
1970,10,1,4,166,-8.5765
1970,10,1,5,197,-5.6377
1970,10,2,1,69,-5.7446
1970,10,2,2,68,-5.8245
1970,10,2,3,68,-6.7546
1970,10,2,4,69,-4.7236
1970,10,2,5,72,-4.3273
1970,10,3,1,104,-1.5185
1970,10,3,2,85,-1.2468
1970,10,3,3,96,-2.6604
1970,10,3,4,81,-0.7957
1970,10,3,5,84,1.0405
1970,11,1,1,117,-1.9353
1970,11,1,2,154,-1.8333
1970,11,1,3,172,-2.0214
1970,11,1,4,165,-2.3624
1970,11,1,5,196,-0.3800
1970,11,2,1,69,-1.4360
1970,11,2,2,68,4.2807
1970,11,2,3,68,1.8852
1970,11,2,4,68,3.2538
1970,11,2,5,72,2.8337
1970,11,3,1,104,4.1746
1970,11,3,2,85,5.8630
1970,11,3,3,96,5.5257
1970,11,3,4,81,3.8923
1970,11,3,5,84,5.4487
1970,12,1,1,116,5.8796
1970,12,1,2,154,9.4588
1970,12,1,3,172,12.2794
1970,12,1,4,164,9.3711
1970,12,1,5,196,10.9130
1970,12,2,1,69,4.1371
1970,12,2,2,68,9.8605
1970,12,2,3,68,8.8881
1970,12,2,4,68,10.3393
1970,12,2,5,72,9.2385
1970,12,3,1,104,6.5004
1970,12,3,2,85,6.3361
1970,12,3,3,96,4.1439
1970,12,3,4,81,5.8396
1970,12,3,5,83,5.3082
1971,1,1,1,116,14.9918
1971,1,1,2,153,15.4570
1971,1,1,3,171,16.8575
1971,1,1,4,164,14.9424
1971,1,1,5,196,13.9436
1971,1,2,1,68,14.6818
1971,1,2,2,68,10.9645
1971,1,2,3,68,9.9828
1971,1,2,4,67,8.5073
1971,1,2,5,72,9.8998
1971,1,3,1,104,5.0896
1971,1,3,2,85,3.2475
1971,1,3,3,96,6.0727
1971,1,3,4,81,4.3094
1971,1,3,5,83,4.0324
1971,2,1,1,116,4.3869
1971,2,1,2,153,5.7379
1971,2,1,3,169,5.9194
1971,2,1,4,164,6.8097
1971,2,1,5,194,6.2172
1971,2,2,1,67,3.7731
1971,2,2,2,68,2.7776
1971,2,2,3,68,1.6512
1971,2,2,4,67,3.6359
1971,2,2,5,72,3.8872
1971,2,3,1,104,0.0414
1971,2,3,2,85,1.7035
1971,2,3,3,96,1.3663
1971,2,3,4,81,4.2066
1971,2,3,5,82,2.1672
1971,3,1,1,116,5.4547
1971,3,1,2,153,3.3449
1971,3,1,3,169,5.1358
1971,3,1,4,163,7.0782
1971,3,1,5,194,10.2537
1971,3,2,1,67,7.0866
1971,3,2,2,68,6.6768
1971,3,2,3,68,7.3902
1971,3,2,4,66,6.8052
1971,3,2,5,72,8.1797
1971,3,3,1,104,2.5272
1971,3,3,2,85,3.3293
1971,3,3,3,95,5.2894
1971,3,3,4,81,5.8377
1971,3,3,5,82,4.3059
1971,4,1,1,116,5.1087
1971,4,1,2,153,1.2388
1971,4,1,3,169,1.4583
1971,4,1,4,163,2.7656
1971,4,1,5,192,2.6463
1971,4,2,1,67,3.6946
1971,4,2,2,68,5.4563
1971,4,2,3,68,2.9817
1971,4,2,4,65,4.8255
1971,4,2,5,72,3.4844
1971,4,3,1,104,3.9371
1971,4,3,2,85,5.1070
1971,4,3,3,95,5.7191
1971,4,3,4,81,3.5092
1971,4,3,5,82,3.7134
1971,5,1,1,116,-7.3759
1971,5,1,2,151,-6.5386
1971,5,1,3,167,-6.2090
1971,5,1,4,162,-6.3612
1971,5,1,5,190,-4.9284
1971,5,2,1,67,-5.5579
1971,5,2,2,68,-4.9674
1971,5,2,3,68,-4.1481
1971,5,2,4,66,-3.0557
1971,5,2,5,71,-2.9280
1971,5,3,1,104,-4.6623
1971,5,3,2,85,-3.7941
1971,5,3,3,95,-2.8852
1971,5,3,4,81,-4.4061
1971,5,3,5,82,-1.5404
1971,6,1,1,114,-2.6026
1971,6,1,2,151,-3.4406
1971,6,1,3,167,-3.0899
1971,6,1,4,159,-1.3064
1971,6,1,5,189,-1.3935
1971,6,2,1,67,-3.8459
1971,6,2,2,67,-1.3917
1971,6,2,3,68,-0.6959
1971,6,2,4,66,2.2895
1971,6,2,5,71,1.0568
1971,6,3,1,104,-0.3575
1971,6,3,2,85,-2.0274
1971,6,3,3,95,1.8089
1971,6,3,4,81,-0.0483
1971,6,3,5,81,1.9060
1971,7,1,1,112,-5.6871
1971,7,1,2,151,-8.2007
1971,7,1,3,185,-7.7168
1971,7,1,4,167,-7.8800
1971,7,1,5,215,-5.3819
1971,7,2,1,75,-6.1718
1971,7,2,2,65,-6.6523
1971,7,2,3,71,-4.2485
1971,7,2,4,71,-5.4888
1971,7,2,5,66,-5.6968
1971,7,3,1,106,-4.6039
1971,7,3,2,95,-2.2674
1971,7,3,3,90,-6.0313
1971,7,3,4,90,-6.9155
1971,7,3,5,92,-2.4549
1971,8,1,1,112,3.2247
1971,8,1,2,151,4.6511
1971,8,1,3,185,4.2230
1971,8,1,4,166,6.0059
1971,8,1,5,215,3.5585
1971,8,2,1,75,4.4420
1971,8,2,2,65,6.7806
1971,8,2,3,71,5.2442
1971,8,2,4,71,5.6081
1971,8,2,5,66,4.2571
1971,8,3,1,106,2.2735
1971,8,3,2,95,4.1019
1971,8,3,3,90,7.0430
1971,8,3,4,89,6.1275
1971,8,3,5,91,4.6193
