year,month,rank_ME,rank_ALMq_6,nstocks,ret_vw
1980,6,2,2,182,3.7189
1980,6,2,3,212,5.1545
1980,6,2,4,209,3.8856
1980,6,2,5,157,2.0011
1980,6,3,1,260,3.8421
1980,6,3,2,246,3.7115
1980,6,3,3,229,4.3075
1980,6,3,4,154,1.6489
1980,6,3,5,83,1.2282
1980,7,1,1,125,13.7624
1980,7,1,2,149,13.6253
1980,7,1,3,244,11.9441
1980,7,1,4,322,11.6910
1980,7,1,5,497,10.5660
1980,7,2,1,158,12.3558
1980,7,2,2,168,10.2400
1980,7,2,3,193,9.5037
1980,7,2,4,187,10.8932
1980,7,2,5,145,11.4343
1980,7,3,1,249,10.8644
1980,7,3,2,220,3.9946
1980,7,3,3,200,5.7422
1980,7,3,4,138,7.1955
1980,7,3,5,77,13.4853
1980,8,1,1,133,10.3558
1980,8,1,2,165,6.7478
1980,8,1,3,276,8.7547
1980,8,1,4,350,7.3372
1980,8,1,5,527,7.5307
1980,8,2,1,169,7.1253
1980,8,2,2,190,3.5938
1980,8,2,3,212,4.2197
1980,8,2,4,204,5.3560
1980,8,2,5,161,5.8621
1980,8,3,1,268,2.1466
1980,8,3,2,258,1.0767
1980,8,3,3,237,1.5964
1980,8,3,4,166,0.8203
1980,8,3,5,90,2.9756
1980,9,1,1,135,6.0123
1980,9,1,2,163,2.7336
1980,9,1,3,275,2.6989
