year,month,rank_ME,rank_IR,nstocks,ret_vw
1971,2,3,5,111,1.9921
1971,3,1,1,57,5.7629
1971,3,1,2,55,7.6321
1971,3,1,3,63,6.5820
1971,3,1,4,71,4.8760
1971,3,1,5,56,4.6868
1971,3,2,1,33,-0.0379
1971,3,2,2,29,7.3485
1971,3,2,3,45,5.0262
1971,3,2,4,46,6.4237
1971,3,2,5,40,8.1148
1971,3,3,1,95,2.0548
1971,3,3,2,96,2.1874
1971,3,3,3,84,3.3817
1971,3,3,4,85,4.6260
1971,3,3,5,111,6.0830
1971,4,1,1,57,1.9251
1971,4,1,2,55,0.3451
1971,4,1,3,63,3.5541
1971,4,1,4,71,1.0662
1971,4,1,5,56,1.7450
1971,4,2,1,33,7.0278
1971,4,2,2,29,1.9993
1971,4,2,3,45,4.9903
1971,4,2,4,46,1.9544
1971,4,2,5,40,6.1488
1971,4,3,1,95,2.9285
1971,4,3,2,96,3.4617
1971,4,3,3,84,5.0458
1971,4,3,4,85,4.9623
1971,4,3,5,111,3.0850
1971,5,1,1,57,-6.7513
1971,5,1,2,55,-5.1397
1971,5,1,3,63,-4.5355
1971,5,1,4,71,-6.7802
1971,5,1,5,56,-5.7398
1971,5,2,1,33,-5.2043
1971,5,2,2,29,-6.3521
1971,5,2,3,45,-3.6421
1971,5,2,4,46,-4.3172
1971,5,2,5,40,-3.1821
1971,5,3,1,95,-4.6689
1971,5,3,2,96,-4.1274
1971,5,3,3,84,-2.6230
1971,5,3,4,85,-3.2061
1971,5,3,5,111,-3.1830
1971,6,1,1,57,-3.0504
1971,6,1,2,55,0.0862
1971,6,1,3,63,0.6087
1971,6,1,4,70,-0.8725
1971,6,1,5,56,-1.5516
1971,6,2,1,33,-3.1258
1971,6,2,2,29,1.4859
1971,6,2,3,45,-2.7900
1971,6,2,4,46,-0.8843
1971,6,2,5,40,0.7567
1971,6,3,1,95,0.3764
1971,6,3,2,96,-0.6345
1971,6,3,3,84,0.2176
1971,6,3,4,85,0.2821
1971,6,3,5,111,1.0272
1971,7,1,1,137,-7.2829
1971,7,1,2,74,-5.4425
1971,7,1,3,54,-4.1033
1971,7,1,4,49,-5.7078
1971,7,1,5,41,-5.7243
1971,7,2,1,44,-6.3784
1971,7,2,2,47,-4.8949
1971,7,2,3,40,-2.2383
1971,7,2,4,50,-2.9080
1971,7,2,5,47,-2.2279
1971,7,3,1,65,-9.7086
1971,7,3,2,79,-3.7594
1971,7,3,3,107,-2.1050
1971,7,3,4,108,-4.3911
1971,7,3,5,126,-3.9302
1971,8,1,1,137,7.5102
1971,8,1,2,74,3.7705
1971,8,1,3,54,2.3310
1971,8,1,4,49,5.8267
1971,8,1,5,41,-0.4369
1971,8,2,1,44,10.0297
1971,8,2,2,47,2.2149
1971,8,2,3,40,3.9150
1971,8,2,4,50,4.1418
1971,8,2,5,47,5.7047
1971,8,3,1,65,10.0874
1971,8,3,2,79,1.3448
1971,8,3,3,107,1.1912
1971,8,3,4,108,5.1468
1971,8,3,5,126,4.8307
1971,9,1,1,137,-2.5356
