year,month,rank_ME,rank_EMq_1,nstocks,ret_vw
1980,5,3,3,99,5.0173
1980,5,3,4,99,6.5266
1980,5,3,5,115,4.8842
1980,6,1,1,157,5.2743
1980,6,1,2,105,5.1310
1980,6,1,3,78,1.7831
1980,6,1,4,90,2.9169
1980,6,1,5,96,4.5267
1980,6,2,1,79,5.1899
1980,6,2,2,61,3.0593
1980,6,2,3,74,3.5077
1980,6,2,4,61,4.9993
1980,6,2,5,62,4.9070
1980,6,3,1,74,1.9994
1980,6,3,2,95,3.8496
1980,6,3,3,97,5.6549
1980,6,3,4,107,2.7513
1980,6,3,5,116,6.1323
1980,7,1,1,142,11.0048
1980,7,1,2,108,8.6159
1980,7,1,3,85,12.2861
1980,7,1,4,82,13.8430
1980,7,1,5,94,11.4741
1980,7,2,1,81,9.7568
1980,7,2,2,67,12.4884
1980,7,2,3,63,9.6777
1980,7,2,4,68,10.0802
1980,7,2,5,67,7.3734
1980,7,3,1,73,4.1093
1980,7,3,2,85,6.2096
1980,7,3,3,103,6.5502
1980,7,3,4,107,8.1351
1980,7,3,5,117,5.0637
1980,8,1,1,145,6.8302
1980,8,1,2,89,10.4323
1980,8,1,3,82,8.0300
1980,8,1,4,77,8.1988
1980,8,1,5,112,6.7224
1980,8,2,1,68,2.8246
1980,8,2,2,69,5.5535
1980,8,2,3,47,1.9279
1980,8,2,4,60,4.5564
1980,8,2,5,69,6.7284
1980,8,3,1,63,1.7852
1980,8,3,2,68,1.7099
1980,8,3,3,93,0.6555
1980,8,3,4,99,0.9907
1980,8,3,5,94,1.9794
1980,9,1,1,133,3.2659
1980,9,1,2,74,1.7044
1980,9,1,3,87,1.8408
